continent,country,year,pop,gdp
Africa,Algeria,1952,9279525,22725632677.912125
Africa,Algeria,1957,10270856,30956113719.685688
Africa,Algeria,1962,11000948,28061403854.402237
Africa,Algeria,1967,12760499,41433235246.85373
Africa,Angola,1952,4232095,14899557133.311934
Africa,Angola,1957,4561361,17460618347.372864
Africa,Angola,1962,4826015,20603593596.04313
Africa,Angola,1967,5247469,28980597821.744877
Africa,Benin,1952,1738315,1847398090.5429997
Africa,Benin,1957,1925173,1847398090.9494264
Africa,Benin,1962,2151895,2043222288.5414696
Africa,Benin,1967,2427334,2514308802.188274
Africa,Botswana,1952,442308,376510766.46073556
Africa,Botswana,1957,474639,435828972.1324011
Africa,Botswana,1962,512764,504382347.55476964
Africa,Botswana,1967,553541,672391397.310054
Africa,Burkina Faso,1952,4469979,2428339520.2509327
Africa,Burkina Faso,1957,4713416,2909042417.923757
Africa,Burkina Faso,1962,4919632,3554493256.928419
Africa,Burkina Faso,1967,5127935,4075818934.4152193
Africa,Burundi,1952,2445618,829789526.7329767
Africa,Burundi,1957,2667518,1012495477.6200558
Africa,Burundi,1962,2961915,1052081766.9882795
Africa,Burundi,1967,3330989,1375623555.0489504
Africa,Cameroon,1952,5009067,5873970852.627885
Africa,Cameroon,1957,5359923,7037836705.936378
Africa,Cameroon,1962,5793633,8108811857.223154
Africa,Cameroon,1967,6335506,9556813969.872889
Africa,Central African Republic,1952,1291695,1383806691.428535
Africa,Central African Republic,1957,1392284,1657993504.365152
Africa,Central African Republic,1962,1523478,1817613997.682934
Africa,Central African Republic,1967,1733638,1969510917.91537
Africa,Chad,1952,2682462,3161726559.872274
Africa,Chad,1957,2894855,3787904963.556335
Africa,Chad,1962,3150417,4378505050.646707
Africa,Chad,1967,3495967,4184010240.491355
Africa,Comoros,1952,153936,169790012.724096
Africa,Comoros,1957,170928,207019199.01254398
Africa,Comoros,1962,191689,269639001.76154196
Africa,Comoros,1967,217378,407807571.736054
Africa,Congo Dem. Rep.,1952,14100005,11005650695.081629
Africa,Congo Dem. Rep.,1957,15577932,14111429069.11774
Africa,Congo Dem. Rep.,1962,17486434,15673346681.93194
Africa,Congo Dem. Rep.,1967,19941073,17181093743.005096
Africa,Congo Rep.,1952,854885,1817161865.9269302
Africa,Congo Rep.,1957,940458,2177213473.589976
Africa,Congo Rep.,1962,1047924,2582905425.016068
Africa,Congo Rep.,1967,1179760,3159326072.04592
Africa,Cote d'Ivoire,1952,2977019,4133872900.463908
Africa,Cote d'Ivoire,1957,3300000,4952956552.5
Africa,Cote d'Ivoire,1962,3832408,6625733026.822624
Africa,Cote d'Ivoire,1967,4744870,9736712727.82351
Africa,Djibouti,1952,63149,168578116.816775
Africa,Djibouti,1957,71851,205850893.079676
Africa,Djibouti,1962,89898,271580892.765174
Africa,Djibouti,1967,127617,385409786.31752104
Africa,Egypt,1952,22223309,31530929611.370506
Africa,Egypt,1957,25009741,36487093093.66455
Africa,Egypt,1962,28173309,47706874227.34758
Africa,Egypt,1967,31681188,57497577541.344864
Africa,Equatorial Guinea,1952,216964,81501034.5602684
Africa,Equatorial Guinea,1957,232922,99247227.56746821
Africa,Equatorial Guinea,1962,249220,145255876.112308
Africa,Equatorial Guinea,1967,259864,237930439.59366003
Africa,Eritrea,1952,1438760,473266515.93319595
Africa,Eritrea,1957,1542611,530907910.9700849
Africa,Eritrea,1962,1666618,634974530.3689594
Africa,Eritrea,1967,1820319,853356390.8133981
Africa,Ethiopia,1952,20860941,7554712172.1051035
Africa,Ethiopia,1957,22815614,8644931130.564205
Africa,Ethiopia,1962,25145372,10547387620.62129
Africa,Ethiopia,1967,27860297,14379218703.505207
Africa,Gabon,1952,420702,1806274139.9854503
Africa,Gabon,1957,434904,2164168458.047496
Africa,Gabon,1962,455661,3021697340.5557423
Africa,Gabon,1967,489004,4087468046.690948
Africa,Gambia,1952,284320,137960780.995312
Africa,Gambia,1957,323150,168337466.691965
Africa,Gambia,1962,374020,224281196.22952
Africa,Gambia,1967,439593,323005424.8106532
Africa,Ghana,1952,5581001,5085960279.254037
Africa,Ghana,1957,6391288,6669702328.689656
Africa,Ghana,1962,7355248,8753047553.087265
Africa,Ghana,1967,8490213,9557408661.895079
Africa,Guinea,1952,2664249,1359290494.4137826
Africa,Guinea,1957,2876726,1657762332.3217871
Africa,Guinea,1962,3140003,2155215395.1670218
Africa,Guinea,1967,3451418,2446225437.1339965
Africa,Guinea-Bissau,1952,580653,174108987.27830702
Africa,Guinea-Bissau,1957,601095,259547084.509977
Africa,Guinea-Bissau,1962,627820,327743619.74295
Africa,Guinea-Bissau,1967,601287,430269336.40393734
Africa,Kenya,1952,6464046,5517327763.298274
Africa,Kenya,1957,7454779,7040578918.948341
Africa,Kenya,1962,8678557,7784373796.899472
Africa,Kenya,1967,10191512,10769742282.352983
Africa,Lesotho,1952,748747,223760204.7712387
Africa,Lesotho,1957,813338,273279221.6012038
Africa,Lesotho,1962,893143,367796847.0434038
Africa,Lesotho,1967,996380,496833953.22407
Africa,Liberia,1952,863308,496896772.11709875
Africa,Liberia,1957,975950,606035661.8380951
Africa,Liberia,1962,1112796,705729840.04935
Africa,Liberia,1967,1279406,912988789.2569098
Africa,Libya,1952,1019729,2434651995.6757402
Africa,Libya,1957,1201578,4143382666.77531
Africa,Libya,1962,1441863,9742712723.450209
Africa,Libya,1967,1759224,33025475319.088562
Africa,Madagascar,1952,4762912,6872937813.51408
Africa,Madagascar,1957,5181679,8234738516.41725
Africa,Madagascar,1962,5703324,9372769145.75364
Africa,Madagascar,1967,6334556,10350964014.476791
Africa,Malawi,1952,2917802,1077150609.3377204
Africa,Malawi,1957,3221238,1341226242.4283233
Africa,Malawi,1962,3628608,1552685302.4168448
Africa,Malawi,1967,4147252,2055024664.8729112
Africa,Mali,1952,3838168,1736145324.5393577
Africa,Mali,1957,4241884,2080144351.6477427
Africa,Mali,1962,4690372,2327242244.5875216
Africa,Mali,1967,5212416,2840818256.7207165
Africa,Mauritania,1952,1022556,759877632.1591932
Africa,Mauritania,1957,1076852,911146295.6214277
Africa,Mauritania,1962,1146757,1210856170.555252
Africa,Mauritania,1967,1230542,1748778848.0846062
Africa,Mauritius,1952,516556,1016559328.1850921
Africa,Mauritius,1957,609816,1240388905.421496
Africa,Mauritius,1962,701016,1772916773.4667919
Africa,Mauritius,1967,789309,1953845681.1746578
Africa,Morocco,1952,9939217,16779421622.40469
Africa,Morocco,1957,11406350,18729253094.2939
Africa,Morocco,1962,13056604,20451257282.11777
Africa,Morocco,1967,14770296,25272637722.15192
Africa,Mozambique,1952,6446316,3020266895.8206396
Africa,Mozambique,1957,7038035,3487957478.3045654
Africa,Mozambique,1962,7788944,4335998836.091281
Africa,Mozambique,1967,8680909,4919203358.112895
Africa,Namibia,1952,485831,1177547676.4031332
Africa,Namibia,1957,548080,1436763251.62864
Africa,Namibia,1962,621392,1971810785.00824
Africa,Namibia,1967,706640,2680776460.25992
Africa,Niger,1952,3379468,2574746971.051968
Africa,Niger,1957,3692184,3084906138.33606
Africa,Niger,1962,4076008,4066902657.4941015
Africa,Niger,1967,4534062,4780646467.657242
Africa,Nigeria,1952,33119096,35678601207.92218
Africa,Nigeria,1957,37173340,40912701545.870415
Africa,Nigeria,1962,41871351,48190888406.88278
Africa,Nigeria,1967,47287752,47974091350.45421
Africa,Reunion,1952,257700,700656740.5215
Africa,Reunion,1957,308700,854929784.2428
Africa,Reunion,1962,358900,1139049306.726
Africa,Reunion,1967,414024,1664863264.1637359
Africa,Rwanda,1952,2534927,1250540010.9891102
Africa,Rwanda,1957,2822082,1524740985.7332606
Africa,Rwanda,1962,3051242,1823034933.2912934
Africa,Rwanda,1967,3451079,1763376143.837622
Africa,Sao Tome and Principe,1952,60011,52784690.5494405
Africa,Sao Tome and Principe,1957,61325,52784690.551945
Africa,Sao Tome and Principe,1962,65345,70020507.87105499
Africa,Sao Tome and Principe,1967,70787,98028711.05669099
Africa,Senegal,1952,2755589,3996587748.4279866
Africa,Senegal,1957,3054547,4788469786.518282
Africa,Senegal,1962,3430243,5677013482.149689
Africa,Senegal,1967,3965841,6394540398.175512
Africa,Sierra Leone,1952,2143249,1885604184.965614
Africa,Sierra Leone,1957,2295678,2305972823.363286
Africa,Sierra Leone,1962,2467895,2755749969.248915
Africa,Sierra Leone,1967,2662190,3210716852.08835
Africa,Somalia,1952,2526994,2870033036.2349477
Africa,Somalia,1957,2780415,3498171939.316395
Africa,Somalia,1962,3080153,4218233606.5954075
Africa,Somalia,1967,3428839,4405143232.1780195
Africa,South Africa,1952,14264935,67406033605.50548
Africa,South Africa,1957,16151549,88625232661.28523
Africa,South Africa,1962,18356657,105894592740.67607
Africa,South Africa,1967,20997321,149384977704.5157
Africa,Sudan,1952,8504667,13743466427.099043
Africa,Sudan,1957,9753392,17266791454.855007
Africa,Sudan,1962,11183227,21914581924.14611
Africa,Sudan,1967,12716129,21464795754.651688
Africa,Swaziland,1952,290243,333308277.060118
Africa,Swaziland,1957,326741,406697255.561724
Africa,Swaziland,1962,370006,686798523.3427501
Africa,Swaziland,1967,420690,1099305739.4488502
Africa,Tanzania,1952,8322925,5964624801.332892
Africa,Tanzania,1957,9452826,6603135550.61123
Africa,Tanzania,1962,10863958,7843819038.347293
Africa,Tanzania,1967,12607312,10693757259.323639
Africa,Togo,1952,1219113,1048203910.8955071
Africa,Togo,1957,1357445,1256869619.7138891
Africa,Togo,1962,1528098,1631297808.0913801
Africa,Togo,1967,1735550,2564443056.818
Africa,Tunisia,1952,3647735,5356609955.845785
Africa,Tunisia,1957,3950849,5512352800.965332
Africa,Tunisia,1962,4286552,7116976045.43192
Africa,Tunisia,1967,4786986,9250181066.386662
Africa,Uganda,1952,5824797,4279789889.3427477
Africa,Uganda,1957,6675501,5169314846.815669
Africa,Uganda,1962,7688797,5899396651.15902
Africa,Uganda,1967,8900294,8089642065.17538
Africa,Zambia,1952,2672000,3065822956.432
Africa,Zambia,1957,3016000,3956861606.256
Africa,Zambia,1962,3421000,4969774845.486
Africa,Zambia,1967,3900000,6930601540.200001
Africa,Zimbabwe,1952,3080907,1253572117.4761236
Africa,Zimbabwe,1957,3646340,1891590901.3437538
Africa,Zimbabwe,1962,4277736,2255531193.8844047
Africa,Zimbabwe,1967,4995432,2846372532.1147585
Americas,Argentina,1952,17876956,105676319104.61867
Americas,Argentina,1957,19610538,134466639305.96205
Americas,Argentina,1962,21283783,151820757736.505
Americas,Argentina,1967,22934225,184688236498.04373
Americas,Bolivia,1952,2883315,7719575216.200306
Americas,Bolivia,1957,3211738,6833571025.294588
Americas,Bolivia,1962,3593918,7838236490.575228
Americas,Bolivia,1967,4040665,10452739933.345245
Americas,Brazil,1952,56602560,119371649390.5488
Americas,Brazil,1957,65551171,163049753284.5231
Americas,Brazil,1962,76039390,253711949066.74078
Americas,Brazil,1967,88049823,301998949547.8588
Americas,Canada,1952,14785584,168070115581.2941
Americas,Canada,1957,17010154,212455973972.90924
Americas,Canada,1962,18985849,255596717816.98193
Americas,Canada,1967,20819767,334710816939.58905
Americas,Chile,1952,6377619,25127683584.32339
Americas,Chile,1957,7048426,30418347406.984
Americas,Chile,1962,7961258,35977675895.4284
Americas,Chile,1967,8858908,45239380746.670204
Americas,Colombia,1952,12350771,26481474548.339016
Americas,Colombia,1957,14485993,33662631379.726933
Americas,Colombia,1962,17009885,42394605743.71247
Americas,Colombia,1967,19764027,52942488863.70165
Americas,Costa Rica,1952,926317,2433443532.148307
Americas,Costa Rica,1957,1112300,3325789015.0646
Americas,Costa Rica,1962,1345187,4655607493.848675
Americas,Costa Rica,1967,1588717,6611807759.248979
Americas,Cuba,1952,6007797,33562790922.86766
Americas,Cuba,1957,6640752,40456619058.87797
Americas,Cuba,1962,7254373,37583135793.09443
Americas,Cuba,1967,8139332,46314980543.06598
Americas,Dominican Republic,1952,2491346,3482196998.3964024
Americas,Dominican Republic,1957,2923186,4514577213.34207
