continent,country,year,lifeExp
Africa,Algeria,1952,43.077
Africa,Algeria,1957,45.685
Africa,Algeria,1962,48.303
Africa,Algeria,1967,51.407
Africa,Angola,1952,30.015
Africa,Angola,1957,31.999
Africa,Angola,1962,34
Africa,Angola,1967,35.985
Africa,Benin,1952,38.223
Africa,Benin,1957,40.358
Africa,Benin,1962,42.618
Africa,Benin,1967,44.885
Africa,Botswana,1952,47.622
Africa,Botswana,1957,49.618
Africa,Botswana,1962,51.52
Africa,Botswana,1967,53.298
Africa,Burkina Faso,1952,31.975
Africa,Burkina Faso,1957,34.906
Africa,Burkina Faso,1962,37.814
Africa,Burkina Faso,1967,40.697
Africa,Burundi,1952,39.031
Africa,Burundi,1957,40.533
Africa,Burundi,1962,42.045
Africa,Burundi,1967,43.548
Africa,Cameroon,1952,38.523
Africa,Cameroon,1957,40.428
Africa,Cameroon,1962,42.643
Africa,Cameroon,1967,44.799
Africa,Central African Republic,1952,35.463
Africa,Central African Republic,1957,37.464
Africa,Central African Republic,1962,39.475
Africa,Central African Republic,1967,41.478
Africa,Chad,1952,38.092
Africa,Chad,1957,39.881
Africa,Chad,1962,41.716
Africa,Chad,1967,43.601
Africa,Comoros,1952,40.715
Africa,Comoros,1957,42.46
Africa,Comoros,1962,44.467
Africa,Comoros,1967,46.472
Africa,Congo Dem. Rep.,1952,39.143
Africa,Congo Dem. Rep.,1957,40.652
Africa,Congo Dem. Rep.,1962,42.122
Africa,Congo Dem. Rep.,1967,44.056
Africa,Congo Rep.,1952,42.111
Africa,Congo Rep.,1957,45.053
Africa,Congo Rep.,1962,48.435
Africa,Congo Rep.,1967,52.04
Africa,Cote d'Ivoire,1952,40.477
Africa,Cote d'Ivoire,1957,42.469
Africa,Cote d'Ivoire,1962,44.93
Africa,Cote d'Ivoire,1967,47.35
Africa,Djibouti,1952,34.812
Africa,Djibouti,1957,37.328
Africa,Djibouti,1962,39.693
Africa,Djibouti,1967,42.074
Africa,Egypt,1952,41.893
Africa,Egypt,1957,44.444
Africa,Egypt,1962,46.992
Africa,Egypt,1967,49.293
Africa,Equatorial Guinea,1952,34.482
